,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
6,4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0
10,6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
14,9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0
16,0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
18,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
22,23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
23,21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0
24,13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
26,9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
27,9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1
28,0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
31,0,1,36,0,628,7,9,4,4,1,2,45,38.375,1
41,0,0,26,0,825,10,21,3,4,1,2,45,73.375,1
42,10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
49,3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1
53,13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0
58,10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0
68,3,1,39,1,60,3,5,2,2,1,1,25,25.335,1
72,26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1
76,12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
77,12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1
78,3,0,38,1,193,5,5,4,3,1,1,30,27.92,1
81,3,0,38,1,688,10,14,6,4,1,1,45,52.45,1
86,6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0
90,14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
91,3,0,28,1,885,13,26,5,4,1,1,45,87.45,0
98,5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0
99,6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1
102,7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0
103,7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0
108,4,0,36,0,13713,166,0,42,3,1,1,30,555.16,0
110,3,0,36,0,5858,92,2,10,2,1,1,25,276.75,0
111,6,1,36,0,2178,51,3,15,3,1,2,30,101.16,0
113,1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,0
117,0,0,36,0,650,11,8,6,2,1,2,25,65.745,0
118,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
119,0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,0
122,20,0,31,0,895,44,11,15,2,1,2,25,91.755,1
124,10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1
126,6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1
127,6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1
128,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
131,0,0,34,0,568,4,4,2,4,1,2,45,24.3,1
141,0,1,24,0,765,7,16,1,4,1,2,45,59.3,1
144,0,0,16,0,1635,23,23,12,2,1,1,25,178.11,0
149,0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1
150,9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0
151,1,1,43,0,398,7,17,8,3,1,2,30,84.2,1
153,11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0
155,12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0
160,7,0,42,1,5998,97,17,16,3,1,1,30,311.8,0
168,1,0,41,0,80,2,10,4,2,1,2,25,48.69,1
172,24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1
174,14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1
175,2,0,38,1,2920,24,10,18,3,1,1,30,157.76,0
176,10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1
177,10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1
178,1,0,40,0,213,4,10,6,3,1,2,30,48.68,1
181,1,1,40,0,708,9,19,8,4,1,2,45,65.425,1
187,7,0,40,1,2860,55,185,27,2,1,1,25,963.675,0
190,12,0,31,0,780,27,20,11,3,1,2,30,112.28,0
192,11,0,29,1,1305,34,29,17,2,1,1,25,190.755,0
199,4,0,13,2,1568,21,10,11,3,1,1,30,103.56,1
203,9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0
206,3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,0
207,12,0,33,1,9035,119,134,39,3,1,1,30,902.16,0
214,8,0,33,0,15405,180,140,26,2,1,1,25,1331.325,0
218,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
222,22,0,29,0,875,45,6,13,2,1,2,25,68.4,1
224,12,1,32,0,5738,96,16,20,2,1,1,25,334.53,1
226,8,1,31,0,2910,39,0,12,3,1,2,30,117.96,1
227,8,0,32,0,2188,42,24,27,3,1,2,30,185.2,1
228,0,1,32,0,0,0,0,0,3,1,2,30,0.0,1
229,0,0,32,0,1588,23,0,2,3,1,1,30,64.44,0
231,0,0,32,0,0,0,0,0,4,1,2,45,0.0,1
239,3,0,22,0,1488,37,20,64,4,1,1,45,88.125,0
245,15,0,13,0,6313,139,75,38,1,2,1,15,767.36,0
249,2,0,5,0,1408,17,0,3,3,1,1,30,57.0,1
257,18,0,43,3,9375,131,159,49,3,1,1,30,1016.24,0
259,12,0,44,2,4775,93,17,31,3,1,1,30,262.72,0
268,5,0,43,0,260,10,15,6,2,1,2,25,79.65,1
269,8,0,43,1,7768,137,399,49,3,1,1,30,1912.2,0
272,28,1,39,0,1215,57,31,23,3,1,2,30,174.88,1
275,6,0,40,1,3100,32,15,20,3,1,1,30,185.28,0
276,14,1,41,0,3250,51,24,22,3,1,2,30,228.04,1
277,14,1,42,0,2528,54,49,37,4,1,2,45,187.05,1
278,5,0,42,0,393,12,15,8,3,1,2,30,76.2,1
281,5,0,42,0,888,17,24,10,4,1,2,45,82.625,1
291,5,0,32,0,1085,20,36,9,4,1,2,45,117.625,0
297,13,0,22,4,3113,55,46,25,3,1,1,30,310.72,0
299,8,1,15,2,1748,29,15,13,3,1,1,30,131.08,1
301,0,0,33,0,0,0,0,0,2,1,2,25,0.0,0
304,0,0,32,0,2133,48,0,27,1,1,1,15,119.955,0
308,2,0,32,0,13513,159,0,38,3,1,1,30,546.88,0
309,2,0,32,0,4255,73,0,19,3,1,1,30,173.12,0
311,4,0,32,0,1978,44,0,11,3,1,2,30,80.88,0
315,0,0,31,0,6240,76,171,20,3,1,1,30,936.64,0
316,0,0,31,0,615,4,0,5,2,1,2,25,27.855,0
318,0,0,31,0,0,0,0,0,2,1,2,25,0.0,1
320,2,0,31,0,11205,144,0,41,3,1,1,30,453.96,0
322,18,1,27,0,695,37,1,11,2,1,2,25,37.44,1
324,8,1,30,0,5558,88,11,18,2,1,1,25,303.57,1
325,0,0,28,0,2580,12,0,8,3,1,1,30,103.68,0
326,4,0,29,0,2730,31,0,10,2,1,2,25,124.245,1
327,4,1,30,0,2008,34,19,25,3,1,2,30,157.68,1
328,0,0,30,0,0,0,0,0,3,1,2,30,0.0,1
329,0,0,30,0,0,0,0,0,3,1,1,30,0.0,0
331,0,1,30,0,0,0,0,0,4,1,2,45,0.0,1
332,0,1,30,0,0,0,0,0,5,1,1,55,0.0,1
333,20,0,25,2,15815,228,0,74,2,1,1,25,721.935,0
349,0,1,3,0,1228,9,0,1,2,1,1,25,55.665,1
352,12,0,40,0,2633,68,370,29,3,1,1,30,1588.04,0
356,6,0,41,0,2540,47,296,23,3,1,1,30,1287.48,0
357,15,0,40,2,9295,129,155,48,3,1,1,30,996.96,0
360,8,0,41,0,6098,103,18,17,3,1,1,30,320.04,0
368,2,0,40,0,180,8,11,5,2,1,2,25,57.96,1
369,5,0,40,0,7688,135,395,48,2,1,1,25,2129.535,0
372,25,1,36,0,1135,55,27,22,2,1,2,25,175.05,1
376,11,1,38,0,3170,49,20,21,3,1,2,30,208.76,1
377,11,1,39,0,2448,52,45,36,3,1,2,30,280.0,1
378,2,1,39,0,313,10,11,7,3,1,2,30,56.92,1
380,5,0,36,1,6965,105,25,27,5,1,1,55,143.55,0
381,2,0,39,0,808,15,20,9,4,1,2,45,70.575,1
383,27,1,34,3,16255,246,11,85,2,1,1,25,792.045,0
384,8,0,37,3,7145,124,282,38,2,2,1,25,1596.105,0
386,5,0,38,0,1845,52,49,25,3,1,2,30,271.88,0
388,6,1,30,1,1495,44,204,16,2,2,1,25,987.255,1
390,13,0,30,0,880,33,21,12,2,1,2,25,135.585,0
